N de Orden;Descripcion Ubicacion Tí©cnica;Descripcion Operacion
6001657;BONIFACIO, JOSE 3401-3500 Calzada;7.A.Construccií_n y/o reparacií_n de pavim
6001657;BONIFACIO, JOSE 3401-3500 Calzada;7.A.Construccií_n y/o reparacií_n de pavim
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;
6001664;AZUL 1-100 Calzada;11.A.Cierre de Aperturas de Servicios Pu
6001666;TREJO NEMESIO 5051-5100 Calzada;2.B.Levantamiento y retiro de materiales
6001666;TREJO NEMESIO 5051-5100 Calzada;2.B.Levantamiento y retiro de materiales
6001666;TREJO NEMESIO 5051-5100 Calzada;2.B.Levantamiento y retiro de materiales
6001666;TREJO NEMESIO 5051-5100 Calzada;3.A.Movimiento de suelos. Excavacií_n de
6001666;TREJO NEMESIO 5051-5100 Calzada;3.A.Movimiento de suelos. Excavacií_n de
6001666;TREJO NEMESIO 5051-5100 Calzada;3.A.Movimiento de suelos. Excavacií_n de
6001666;TREJO NEMESIO 5051-5100 Calzada;5.A.Construccií_n de sub bases y bases. D
6001666;TREJO NEMESIO 5051-5100 Calzada;5.A.Construccií_n de sub bases y bases. D
6001666;TREJO NEMESIO 5051-5100 Calzada;5.A.Construccií_n de sub bases y bases. D
6001666;TREJO NEMESIO 5051-5100 Calzada;7.B.Construccií_n y/o reparacií_n de pavim
6001666;TREJO NEMESIO 5051-5100 Calzada;7.B.Construccií_n y/o reparacií_n de pavim
6001666;TREJO NEMESIO 5051-5100 Calzada;7.B.Construccií_n y/o reparacií_n de pavim
6001670;TREJO NEMESIO 5201-5300 Calzada;2.B.Levantamiento y retiro de materiales
6001670;TREJO NEMESIO 5201-5300 Calzada;2.B.Levantamiento y retiro de materiales
6001670;TREJO NEMESIO 5201-5300 Calzada;3.A.Movimiento de suelos. Excavacií_n de
6001670;TREJO NEMESIO 5201-5300 Calzada;3.A.Movimiento de suelos. Excavacií_n de
6001670;TREJO NEMESIO 5201-5300 Calzada;3.B.Movimiento de suelo. Saniamiento inc
6001670;TREJO NEMESIO 5201-5300 Calzada;5.A.Construccií_n de sub bases y bases. D
6001670;TREJO NEMESIO 5201-5300 Calzada;5.A.Construccií_n de sub bases y bases. D
6001670;TREJO NEMESIO 5201-5300 Calzada;7.B.Construccií_n y/o reparacií_n de pavim
6001670;TREJO NEMESIO 5201-5300 Calzada;7.B.Construccií_n y/o reparacií_n de pavim
6001672;MOCTEZUMA 1251-1300 Calzada;Cierre de aperturas de empresas de servi
6001673;DIRECTORIO AV. 7401-7500 Calzada;1. Provisií_n y aplicacií_n de material te
6001681;MOCTEZUMA 1201-1250 Calzada;2.C.Levantamiento y retiro de materiales
6001683;MOLIERE 1201-1300 Calzada;
6001683;MOLIERE 1201-1300 Calzada;
6001683;MOLIERE 1201-1300 Calzada;
6001683;MOLIERE 1201-1300 Calzada;Cierre de aperturas de empresas de servi
6001683;MOLIERE 1201-1300 Calzada;7.B.Construccií_n y/o reparacií_n de pavim
6001691;MOCTEZUMA 901-1000 Calzada;
6001691;MOCTEZUMA 901-1000 Calzada;
6001691;MOCTEZUMA 901-1000 Calzada;
6001691;MOCTEZUMA 901-1000 Calzada;
6001691;MOCTEZUMA 901-1000 Calzada;2.B.Levantamiento y retiro de materiales
6001744;MOCTEZUMA 1001-1100 Calzada;
6001744;MOCTEZUMA 1001-1100 Calzada;
6001744;MOCTEZUMA 1001-1100 Calzada;
6001744;MOCTEZUMA 1001-1100 Calzada;
6001744;MOCTEZUMA 1001-1100 Calzada;
6001744;MOCTEZUMA 1001-1100 Calzada;Cierre de aperturas de empresas de servi
6001796;RIOBAMBA 701-799 Acera Impar;
6001796;RIOBAMBA 701-799 Acera Impar;
6001796;RIOBAMBA 701-799 Acera Impar;
6001796;RIOBAMBA 701-799 Acera Impar;
6001796;RIOBAMBA 701-799 Acera Impar;
6001796;RIOBAMBA 701-799 Acera Impar;
6001796;RIOBAMBA 701-799 Acera Impar;6.A.Provisií_n y colocacií_n de material a
6001809;VIAMONTE 1801-1899 Acera Impar;
6001809;VIAMONTE 1801-1899 Acera Impar;
6001809;VIAMONTE 1801-1899 Acera Impar;
6001809;VIAMONTE 1801-1899 Acera Impar;
6001809;VIAMONTE 1801-1899 Acera Impar;
6001809;VIAMONTE 1801-1899 Acera Impar;
6001809;VIAMONTE 1801-1899 Acera Impar;
6001809;VIAMONTE 1801-1899 Acera Impar;
6001809;VIAMONTE 1801-1899 Acera Impar;
6001809;VIAMONTE 1801-1899 Acera Impar;11.A.Cierre de Aperturas de Servicios Pu
6001827;ALVAREZ JONTE AV. 3201-3280 Calzada;12.A.Bacheo superficial con carpeta tipo
6001833;ECUADOR 301-400 Calzada;
6001833;ECUADOR 301-400 Calzada;
6001833;ECUADOR 301-400 Calzada;
6001833;ECUADOR 301-400 Calzada;12.A.Bacheo superficial con carpeta tipo
6001924;SANTO TOME 5001-5049 Acera Impar;
6001924;SANTO TOME 5001-5049 Acera Impar;
6001924;SANTO TOME 5001-5049 Acera Impar;6.A.Provisií_n y colocacií_n de material a
6001935;MISTRAL, GABRIELA 3301-3400 Calzada;
6001935;MISTRAL, GABRIELA 3301-3400 Calzada;
6001935;MISTRAL, GABRIELA 3301-3400 Calzada;
6001935;MISTRAL, GABRIELA 3301-3400 Calzada;
6001935;MISTRAL, GABRIELA 3301-3400 Calzada;
6001935;MISTRAL, GABRIELA 3301-3400 Calzada;
6001935;MISTRAL, GABRIELA 3301-3400 Calzada;
6001935;MISTRAL, GABRIELA 3301-3400 Calzada;
6001935;MISTRAL, GABRIELA 3301-3400 Calzada;2.A.Levantamiento y retiro de materiales
6001939;JUSTO, JUAN B. AV. 8701-8800 Calzada;11.A.Cierre de Aperturas de Servicios Pu
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;
6002125;RIVADAVIA AV. 6972-7000 Acera Par;6.A.Provisií_n y colocacií_n de material a
6002226;MANSILLA, LUCIO,  2704-2750  Par;
6002226;MANSILLA, LUCIO,  2704-2750  Par;
6002226;MANSILLA, LUCIO,  2704-2750  Par;
6002226;MANSILLA, LUCIO,  2704-2750  Par;
6002226;MANSILLA, LUCIO,  2704-2750  Par;
6002226;MANSILLA, LUCIO,  2704-2750  Par;11.A.Cierre de Aperturas de Servicios Pu
6002239;JURAMENTO 701-800 Calzada;Sellado de juntas y fisuras en pavimento
6002760;MISTRAL, GABRIELA 3401-3500 Calzada;
6002760;MISTRAL, GABRIELA 3401-3500 Calzada;
6002760;MISTRAL, GABRIELA 3401-3500 Calzada;
6002760;MISTRAL, GABRIELA 3401-3500 Calzada;
6002760;MISTRAL, GABRIELA 3401-3500 Calzada;
6002760;MISTRAL, GABRIELA 3401-3500 Calzada;
6002760;MISTRAL, GABRIELA 3401-3500 Calzada;
6002760;MISTRAL, GABRIELA 3401-3500 Calzada;
6002760;MISTRAL, GABRIELA 3401-3500 Calzada;
6002760;MISTRAL, GABRIELA 3401-3500 Calzada;
6002760;MISTRAL, GABRIELA 3401-3500 Calzada;12.A.Bacheo superficial con carpeta tipo
6003143;DIRECTORIO AV. 1651-1700 Calzada;1. Provisií_n y aplicacií_n de material te
6003245;TALCAHUANO 901-999 Acera Impar;
6003245;TALCAHUANO 901-999 Acera Impar;
6003245;TALCAHUANO 901-999 Acera Impar;
6003245;TALCAHUANO 901-999 Acera Impar;
6003245;TALCAHUANO 901-999 Acera Impar;6.A.Provisií_n y colocacií_n de material a
6003255;ESMERALDA 302-400 Acera Par;
6003255;ESMERALDA 302-400 Acera Par;
6003255;ESMERALDA 302-400 Acera Par;
6003255;ESMERALDA 302-400 Acera Par;
6003255;ESMERALDA 302-400 Acera Par;
6003255;ESMERALDA 302-400 Acera Par;
6003255;ESMERALDA 302-400 Acera Par;
6003255;ESMERALDA 302-400 Acera Par;
6003255;ESMERALDA 302-400 Acera Par;
6003255;ESMERALDA 302-400 Acera Par;
6003255;ESMERALDA 302-400 Acera Par;
6003255;ESMERALDA 302-400 Acera Par;
6003255;ESMERALDA 302-400 Acera Par;
6003255;ESMERALDA 302-400 Acera Par;
6003255;ESMERALDA 302-400 Acera Par;
6003255;ESMERALDA 302-400 Acera Par;
6003255;ESMERALDA 302-400 Acera Par;
6003255;ESMERALDA 302-400 Acera Par;
6003255;ESMERALDA 302-400 Acera Par;
6003255;ESMERALDA 302-400 Acera Par;
6003255;ESMERALDA 302-400 Acera Par;
6003255;ESMERALDA 302-400 Acera Par;
6003255;ESMERALDA 302-400 Acera Par;
